Date,Open,High,Low,Close,Volume,Turnover
23-10-2012,5715.65,5720.8,5681.45,5691.4,81501427,38035000000
25-10-2012,5688.8,5718.75,5685.7,5705.3,158343061,73593400000
26-10-2012,5683.55,5697.2,5641.75,5664.3,101663820,47189700000
29-10-2012,5665.2,5698.3,5645.1,5665.6,93555816,39538600000
30-10-2012,5656.35,5689.9,5589.9,5597.9,116678775,55508600000
31-10-2012,5596.75,5624.4,5583.05,5619.7,112075316,49185500000
01-11-2012,5609.85,5649.75,5601.95,5645.05,107393402,46331100000
02-11-2012,5696.35,5711.3,5682.55,5697.7,111162841,49243300000
05-11-2012,5693.05,5709.2,5679.5,5704.2,74829213,32360800000
06-11-2012,5694.1,5730.8,5693.65,5724.4,115018796,46779200000
07-11-2012,5718.6,5777.3,5711.4,5760.1,133740615,52421800000
08-11-2012,5709,5744.5,5693.95,5738.75,117590261,48839000000
09-11-2012,5731.1,5751.7,5677.75,5686.25,98763127,48336400000
12-11-2012,5688.45,5718.9,5665.75,5683.7,92702799,40826200000
13-11-2012,5689.7,5698.25,5660.35,5666.95,16516842,6807200000
15-11-2012,5650.35,5651.65,5603.55,5631,133979470,55540500000
16-11-2012,5624.8,5650.15,5559.8,5574.05,121900570,49961500000
19-11-2012,5577.3,5592.75,5549.25,5571.4,106988015,43368400000
20-11-2012,5604.8,5613.7,5548.35,5571.55,107481297,43999300000
21-11-2012,5582.5,5620.2,5561.4,5614.8,105148728,42284700000
22-11-2012,5628.6,5643.35,5608,5627.75,94058612,38677600000
23-11-2012,5635.45,5637.75,5593.55,5626.6,85082220,32130600000
26-11-2012,5648.65,5649.2,5623.45,5635.9,79291426,32462300000
27-11-2012,5658.5,5733.2,5658,5727.45,134407735,53809500000
29-11-2012,5736.7,5833.5,5736.1,5825,207295475,91109300000
30-11-2012,5836,5885.25,5827.85,5879.85,257047977,1.08E+11
03-12-2012,5878.25,5899.15,5854.6,5870.95,113423350,47266800000
04-12-2012,5866.8,5894.95,5859,5889.25,131020191,48167000000
05-12-2012,5906.6,5917.8,5891.35,5900.5,139653957,55837800000
06-12-2012,5926.3,5942.55,5838.9,5930.9,140267080,56676500000
07-12-2012,5934,5949.85,5888.65,5907.4,127607078,57224500000
10-12-2012,5916.05,5919.95,5888.1,5908.9,95975757,43398400000
11-12-2012,5923.8,5965.15,5865.45,5898.8,137415161,64030600000
12-12-2012,5917.8,5924.6,5874.25,5888,132665649,61176300000
13-12-2012,5900.35,5907.45,5841.35,5851.5,136616335,59761500000
14-12-2012,5846.9,5886.1,5839.15,5879.6,115159830,50128300000
17-12-2012,5860.5,5886.05,5850.15,5857.9,109547002,49981900000
18-12-2012,5873.6,5905.8,5823.15,5896.8,148907334,67406600000
19-12-2012,5917.3,5939.4,5910.8,5929.6,149439204,67312700000
20-12-2012,5934.45,5937.6,5881.45,5916.4,123911218,53907600000
21-12-2012,5888,5888,5841.65,5847.7,141152911,56039600000
24-12-2012,5869,5871.9,5844.7,5855.75,85336999,34339800000
26-12-2012,5864.95,5917.3,5859.55,5905.6,83871326,34475300000
27-12-2012,5930.2,5930.8,5864.7,5870.1,139613235,59555100000
28-12-2012,5887.15,5915.75,5879.5,5908.35,89669021,38634700000
31-12-2012,5901.2,5919,5897.15,5905.1,64809641,30217100000
01-01-2013,5937.65,5963.9,5935.2,5950.85,77902745,32987400000
02-01-2013,5982.6,6006.05,5982,5993.25,116057389,49929000000
03-01-2013,6015.8,6017,5986.55,6009.5,99989933,48831300000
04-01-2013,6011.95,6020.75,5981.55,6016.15,113232990,51913800000
07-01-2013,6042.15,6042.15,5977.15,5988.4,110248018,50936200000
08-01-2013,5983.45,6007.05,5964.4,6001.7,109937502,52477400000
09-01-2013,6006.2,6020.1,5958.45,5971.5,129635568,64623500000
10-01-2013,5998.8,6005.15,5947.3,5968.65,129767384,61918800000
11-01-2013,6012.4,6018.85,5940.6,5951.3,128022002,82287100000
14-01-2013,5967.2,6036.9,5962.15,6024.05,134711348,72798300000
15-01-2013,6037.85,6068.5,6018.6,6056.6,138364003,69782600000
16-01-2013,6049,6055.95,5992.05,6001.85,128985952,61726700000
17-01-2013,6001.25,6053.2,5988.1,6039.2,178954867,75691700000
18-01-2013,6059.85,6083.4,6048.3,6064.4,186460701,83211500000
21-01-2013,6085.75,6094.35,6065.1,6082.3,130866385,60659900000
22-01-2013,6080.15,6101.3,6040.5,6048.5,129041713,57440900000
23-01-2013,6052.85,6069.8,6021.15,6054.3,136989190,59322900000
24-01-2013,6046.2,6065.3,6007.85,6019.35,185210189,78841400000
25-01-2013,6024.5,6080.55,6014.45,6074.65,147587200,63846500000
28-01-2013,6082.1,6088.4,6061.4,6074.8,113113004,55923900000
29-01-2013,6064.7,6111.8,6042.45,6049.9,157553752,82613400000
30-01-2013,6065,6071.95,6044.15,6055.75,124222858,62208000000
31-01-2013,6045.65,6058.05,6025.15,6034.75,168516750,87531400000
01-02-2013,6040.95,6052.95,5983.2,5998.9,159271140,61892700000
04-02-2013,6025.2,6038.5,5981.25,5987.25,141741868,61660500000
05-02-2013,5948.2,5970.35,5946.9,5956.9,136227506,53322800000
06-02-2013,5988.05,5990.9,5953.15,5959.2,157815926,58658300000
07-02-2013,5936.45,5978.5,5927.6,5938.8,157647191,55554000000
08-02-2013,5929.1,5953.7,5883.65,5903.5,192607376,67617500000
11-02-2013,5920.05,5924.15,5879.1,5897.85,121958667,55064300000
12-02-2013,5894.35,5927.65,5886.45,5922.5,142844560,48441100000
13-02-2013,5943.15,5969.5,5922.95,5932.95,142636632,57148300000
14-02-2013,5933.2,5940.2,5884.55,5896.95,143830565,71255500000
15-02-2013,5869.95,5899.95,5853.9,5887.4,125091945,51879100000
18-02-2013,5888.65,5911,5878.45,5898.2,114284193,41871900000
19-02-2013,5900.2,5947.55,5883.15,5939.7,100984778,37438000000
